"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 23/12/2006,      10.994,    100
00:00:00 24/12/2006,      11.001,    100
00:00:00 25/12/2006,      11.010,    100
00:00:00 26/12/2006,      11.031,    100
00:00:00 27/12/2006,      11.052,    100
00:00:00 28/12/2006,      11.076,    100
00:00:00 29/12/2006,      11.099,    100
00:00:00 30/12/2006,      11.118,    100
00:00:00 31/12/2006,      11.111,    100
00:00:00 01/01/2007,      11.124,    100
00:00:00 02/01/2007,      11.146,    100
00:00:00 03/01/2007,      11.154,    100
00:00:00 04/01/2007,      11.161,    100
00:00:00 05/01/2007,      11.158,    100
00:00:00 06/01/2007,      11.153,    100
00:00:00 07/01/2007,      11.150,    100
00:00:00 08/01/2007,      11.167,    100
00:00:00 09/01/2007,      11.201,    100
00:00:00 10/01/2007,      11.215,    100
00:00:00 11/01/2007,      11.234,    100
00:00:00 12/01/2007,      11.252,    100
00:00:00 13/01/2007,      11.286,    100
